Age	CAT01	CAT03	CAT04A	CAT05B	CAT06	CAT07	CAT08A	CAT09C	CAT10	CAT11	CAT12	CAT13	CAT14B	CAT15	CAT16	CAT17	CAT18	CAT19	CAT20	CAT21	CAT120B	CAT1226	CAT1228	CAT1230	CAT1613	CAT1626	CAT1850	CAT2013	CAT2137	CAT2145	Mean	Median	TSD	Mean	MAI																			
84.000	37.710	43.266	57.856	40.260	46.199		56.815	50.290	39.153	35.938	35.735	39.253	43.073	48.722	52.795	53.712	42.248	39.500	34.716	51.030	46.667		57.782	33.213	34.440	41.041	32.715	30.455	38.661	57.076	43.561	41.645	39.735	0.53141	0.47303																			
85.000	38.171	43.682	58.519	40.610	46.681		57.966	50.566	39.416	36.129	36.293	39.949	43.557	49.726	53.105	54.961	42.688	39.745	35.081	51.279	47.711		58.596	33.454	34.837	41.201	33.559	30.807	39.157	57.639	44.080	41.944	40.201	0.46666	0.47296																			
86.000	38.624	44.009	59.208	41.011	47.357		58.295	51.031	39.885	36.405	36.615	40.191	44.044	50.368	53.369	55.766	43.507	40.082	35.362	51.901	48.251		59.471	33.620	35.238	42.256	34.542	31.161	39.626	57.772	44.579	42.881	40.769	0.56756	0.47406																			
87.000	39.805	44.526	59.483	41.259	47.760		58.850	51.807	40.153	36.686	37.153	40.502	44.528	51.277	53.860	56.813	43.865	40.603	35.773	52.447	48.655		59.993	33.856	35.456		35.101	31.512	39.757	57.956	45.130	43.865	41.297	0.52812	0.47468																			
88.000	40.293	45.055	60.408	41.733	48.309		60.234	52.465	40.329	36.913	37.418	40.795	45.017	52.225	54.277	57.839	44.379	40.852	36.070	53.059	48.967		60.720	33.912	35.762		35.837	31.865	40.306	58.221	45.635	44.379	41.890	0.59341	0.47603																			
89.000	40.687	45.426	60.823	41.932	48.914		61.005	52.802	40.785	37.150	37.737	41.210	45.508	52.436	54.746	58.228	44.677	41.171	36.492	53.729	49.996		61.428	33.945	36.383		36.760	32.215	41.068	58.604	46.143	44.677	42.357	0.46689	0.47592																			
90.000	41.417	45.941	60.995	42.157	49.530		61.330	53.303	41.065	37.534	38.174	41.699	46.000	52.801	55.168	58.657	44.903	41.422	36.679	54.349	51.192		62.530	34.308	36.731		36.882	32.565	41.491	59.527	46.611	44.903	42.872	0.51521	0.47636																			
91.000	41.783	46.246	61.282	42.505	49.857		61.706	53.692	41.465	38.414	38.780	42.204	46.495	53.245	55.782	60.014	45.398	41.815	36.862	54.867	52.202		63.774	34.683	37.110		37.606	32.911	41.654	60.315	47.129	45.398	43.383	0.51042	0.47674																			
92.000	42.190	46.524	61.834	43.006	50.447		62.011	54.665	41.698	38.701	39.302	42.786	46.992	53.868	56.315	60.575	45.843	42.390	37.248	55.169	53.066			34.942	37.330		38.217	33.258	42.080	61.605	46.981	44.425	43.981	0.59837	0.47806																			
93.000	42.825	46.920	62.667	43.447	50.719		62.396	55.139	41.937	39.067	40.179	43.255	47.501	54.443	56.803	60.876	46.243	42.870	37.476	55.459	53.560			35.390	37.766		38.672	33.602	42.606	62.481	47.457	44.845	44.556	0.57491	0.47910																			
94.000	43.432	47.285	63.039	43.865	50.976		62.615	55.277	42.154	39.260	40.439	43.849	48.010	54.913	57.067	61.252	46.777	43.445	37.696	56.065	53.797			35.479	37.803		39.506	33.947	42.922	63.217	47.853	45.321	45.064	0.50739	0.47940																			
95.000	43.899	48.122	63.316	44.064	51.409		62.819	55.416		39.464	40.675	44.129	48.518	55.263	57.383	61.624	47.166	43.937	37.993	56.439	53.874			36.132	38.230		39.914	34.291	43.215	64.094	48.456	47.166	45.592	0.52796	0.47991																			
96.000	44.389	49.121	63.603	44.487	51.914		63.117	55.806		39.840	40.890	44.337	49.021	56.060	58.566	62.243	47.819	44.036	38.137	56.871	54.037			36.364	38.977		40.198	34.637	43.652	64.359	48.918	47.819	46.066	0.47417	0.47985																			
97.000	44.700	49.353	64.484	44.900	52.623		63.413	56.123		40.056	41.499	44.655	49.526	56.674	59.124	63.160	48.112	44.177	38.549	57.374	54.419			36.612	39.008		40.674	34.985	43.961	64.540	49.326	48.112	46.569	0.50286	0.48009																			
98.000	44.959	49.900	64.866	45.289	53.190		63.992	56.434		40.257		45.034	50.031	57.229	59.648	63.882	48.323	45.100	38.843	57.664	54.876			37.030	39.858		41.726	35.330	44.351	64.839	50.144	49.112	47.088	0.51934	0.48049																			
99.000	45.211	50.490	65.766	45.556	53.868		64.653	56.954		40.490		45.321	50.536	57.853	60.317	64.467	48.427	45.760	39.001	58.190	55.467			37.736	40.304		42.025	35.675	45.058	65.488	50.625	49.458	47.590	0.50201	0.48071																			
100.00	45.646	50.880	66.382	46.001	54.338		65.700	57.419				45.524	51.040	58.562	60.605	65.369	48.682	46.716	39.231	58.711	56.322			38.566	40.502		42.311	36.021	45.262	66.136	51.598	50.880	48.155	0.56496	0.48155																			
101.00	46.101	51.130	67.058	46.769	55.151		66.581	57.816				45.952	51.547	59.863	60.831	66.203	48.950	46.958	39.511	59.082	57.277			39.129	40.602		42.339	36.367	45.526	67.045	52.136	51.130	48.662	0.50753	0.48181																			
102.00	46.556	51.731	67.697	46.978	55.508		67.661	58.092				46.319	52.056	60.374	62.057	66.574	49.330	47.369		59.484				39.792	41.356		42.549	36.712	45.756	67.712	52.979	51.731	49.175	0.51272	0.48211																			
103.00	46.740	52.045	68.624	47.326	55.838			58.364				46.515	52.563	61.068	62.388	67.362	49.566	47.911		59.873				39.940	41.599		42.639	37.056	45.987	67.712	52.593	50.805	49.784	0.60852	0.48334																			
104.00	47.033	52.377	69.007	47.666	56.208			58.753				46.738	53.071	61.575	63.379	67.722	49.752	48.330		60.167				40.227	41.629		42.897	37.396	46.562		52.178	49.752	50.377	0.59386	0.48440																			
105.00	47.365	52.742	70.034	48.379	56.903			59.355				47.123	53.581	61.920	64.175	67.911	49.873	48.802						40.553	41.694		43.286	37.736	47.301		52.229	49.337	50.823	0.44564	0.48403																			
106.00	47.693	53.195		49.000	57.305							47.400	54.089	62.883	64.610	68.512		49.316						40.838	42.477		43.776	38.074	47.655		51.181	49.000	51.336	0.51324	0.48431																			
107.00	47.969	53.516		49.500	58.122							47.556	54.594	63.698	64.909	69.111		49.723						41.224	43.124		44.201	38.414	48.081		51.639	49.500	51.814	0.47757	0.48424																			
108.00	48.285	54.313		49.974	58.776							48.047	55.102	64.609	65.574	69.684		50.366						41.630	43.761		44.307	38.752	48.396		52.152	49.974	52.409	0.59520	0.48527																			
109.00	48.754	54.641		50.218	59.328							48.867	55.614	64.869	66.245	70.069		50.685						41.864	44.348		45.441	39.094	48.631		52.642	50.218	52.976	0.56682	0.48602																			
110.00	49.253	54.907		50.484	59.822							49.106	56.122	65.101	66.718	70.400		51.142						42.406	45.300		45.888	39.433	48.921		53.065	50.484	53.486	0.51031	0.48624																			
111.00	49.526	55.319		50.741	60.401							49.255	56.629	65.375	67.362	70.854		51.409						42.766	45.593		46.103	39.770	49.255		53.423	50.741	53.972	0.48578	0.48623																			
112.00	50.005	55.950		51.104								49.750	57.135	65.861	67.704	71.131		51.886						43.261	45.875		46.445	40.106	49.545		53.323	50.554	54.532	0.55988	0.48689																			
113.00	50.383	56.436										50.196	57.642	66.274	67.928	71.398		52.487						43.441	46.074		46.626	40.441	49.788		53.840	50.383	55.136	0.60379	0.48793																			
114.00	50.716	56.714										50.452	58.147	66.877	68.523	71.948		52.870						43.524	47.006		47.100	40.777			54.627	51.793	55.666	0.52998	0.48830																			
115.00	50.923	57.118										50.626	58.651	67.497	69.006	72.435		53.166						43.806	47.638		47.591	41.115			55.040	52.045	56.161	0.49500	0.48835																			
116.00	51.104	57.662										50.838	59.155	68.286	69.348	72.883		53.513						44.026	48.528		47.702	41.453			55.490	52.308	56.650	0.48918	0.48836																			
117.00	51.485	58.355										51.060	59.659	68.681	69.931	73.484		53.900						44.390	49.644		48.029	41.790			55.965	52.693	57.177	0.52748	0.48870																			
118.00	51.771	58.623										51.161	60.167	68.989	70.561	73.938		54.279						45.035	50.348		48.099	42.129			56.321	53.025	57.664	0.48626	0.48867																			
119.00		58.825										51.389	60.676	69.444	71.143	74.275		54.609						45.574	51.384		48.501	42.473			57.142	54.609	58.105	0.44172	0.48828																			
120.00												51.633	61.187	70.307	71.544	74.502		55.116						45.815	51.710		49.191	42.815			57.451	53.413	58.542	0.43703	0.48785																			
121.00												51.914	61.695		72.128	75.083		55.543						46.206	51.764		49.560	43.160			56.436	51.914	59.022	0.47918	0.48778																			
122.00												52.268	62.201		72.612	75.363		56.173						46.537	51.833		49.983	43.506			56.825	52.268	59.509	0.48726	0.48778																			
123.00												52.268	62.706		73.151	75.625		56.706						46.613	52.280		50.150	43.853			57.137	52.280	60.005	0.49616	0.48785																			
124.00													63.212		73.504	75.861		57.149						46.880	52.874		50.205	44.200			58.056	55.012	60.497	0.49231	0.48788																			
125.00													63.718			76.132		57.450						47.206	53.219		50.292	44.546			56.152	53.219	61.001	0.50406	0.48801																			
126.00													64.224			76.734		57.576						47.420	53.776		50.437	44.891			56.644	53.776	61.448	0.44696	0.48768																			
127.00													64.728			77.354		57.859						47.667	54.088		50.492	45.238			56.998	54.088	61.979	0.53036	0.48802																			
128.00													65.231			77.920		58.083						48.169			51.251	45.583			55.846	51.251	62.432	0.45384	0.48775																			
129.00													65.733			78.285		58.228						48.520			51.684	45.929			56.200	51.684	62.925	0.49247	0.48779																			
130.00													66.235			78.433		58.823						49.122			51.800	46.275			56.596	51.800	63.397	0.47243	0.48767																			
131.00													66.737			78.842		59.297						49.445			52.231	46.626			57.045	52.231	63.861	0.46398	0.48749																			
132.00													67.246			79.241		59.645						49.908			52.571	46.974			57.442	52.571	64.281	0.41995	0.48698																			
133.00																79.531		59.937						50.033			52.764	47.321			57.659	52.764	64.770	0.48866	0.48699																			
134.00																79.883		60.319						50.440			53.451	47.668			58.118	53.451	65.169	0.39894	0.48634																			
135.00																		60.734						51.119			53.506	48.015			53.082	52.313	65.604	0.43541	0.48596																			
136.00																		61.177						51.291			53.766	48.364			53.535	52.528	66.047	0.44219	0.48564																			
137.00																		61.602						51.455			54.444	48.712			53.977	52.949	66.450	0.40337	0.48504																			
138.00																		61.757						51.654			54.808	49.060			54.408	53.231	66.917	0.46702	0.48491																			
139.00																		61.923						51.688			54.835	49.407			54.639	53.261	67.297	0.38048	0.48415																			
140.00																		62.131						51.838			55.348	49.754			54.929	53.593	67.687	0.38915	0.48348																			
141.00																		62.561						52.049			55.990	50.099			55.419	54.019	68.155	0.46864	0.48337																			
142.00																		62.990						52.166			56.475	50.443			55.918	54.320	68.643	0.48767	0.48340																			
143.00																		63.287									56.611	50.787			57.519	56.611	69.163	0.52059	0.48366																			
144.00																		63.971									56.769	51.142			57.914	56.769	69.618	0.45500	0.48346																			
145.00																		64.181									57.207				58.237	57.207	70.012	0.39391	0.48284																			
146.00																		64.374									57.513				58.558	57.513	70.448	0.43551	0.48252																			
147.00																		64.523													59.256	59.256	70.878	0.43022	0.48216																			
148.00																		64.671													59.452	59.452	71.272	0.39407	0.48157																			
149.00																		65.243													60.094	60.094	71.725	0.45267	0.48137																			
150.00																		65.541													60.504	60.504	72.119	0.39466	0.48080																			
151.00																		65.857													60.710	60.710	72.506	0.38645	0.48017																			
152.00																		66.332													61.309	61.309	72.891	0.38526	0.47955																			
153.00																		66.629													61.610	61.610	73.249	0.35825	0.47875																			
154.00																		66.876													62.103	62.103	73.651	0.40129	0.47825																			
155.00																		67.109													62.327	62.327	74.136	0.48484	0.47829																			
156.00																																57.676			0.0000	0.45381																		
157.00																																57.724			0.0000	0.46924																		
158.00																																57.799																						
159.00																																57.995																						
160.00																																58.184																						
161.00																																58.491																						
162.00																																59.704																						
163.00																																59.932																						
164.00																																60.197																						
165.00																																60.424																						
166.00																																60.481																						
167.00																																60.681																						
168.00																																61.004																						
169.00																																61.104																						
170.00																																61.340																						
171.00																																61.650																						
172.00																																																						
